Delta Time, Position, Velocity, 
10, 22.386761, 0.452472, 
10, 22.391058, 0.429695, 
10, 22.395133, 0.407467, 
10, 22.398991, 0.385793, 
10, 22.402638, 0.364678, 
10, 22.406079, 0.344127, 
10, 22.409320, 0.324144, 
10, 22.412368, 0.304732, 
10, 22.415227, 0.285896, 
10, 22.417903, 0.267640, 
10, 22.420403, 0.249966, 
10, 22.422732, 0.232879, 
10, 22.424895, 0.216380, 
10, 22.426900, 0.200474, 
10, 22.428752, 0.185162, 
10, 22.430456, 0.170447, 
10, 22.432020, 0.156332, 
10, 22.433448, 0.142818, 
10, 22.434747, 0.129907, 
10, 22.435923, 0.117602, 
10, 22.436982, 0.105903, 
10, 22.437930, 0.094813, 
10, 22.438773, 0.084332, 
10, 22.439518, 0.074462, 
10, 22.440170, 0.065204, 
10, 22.440736, 0.056559, 
10, 22.441221, 0.048527, 
10, 22.441632, 0.041109, 
10, 22.441975, 0.034306, 
10, 22.442256, 0.028119, 
10, 22.442482, 0.022547, 
10, 22.442658, 0.017591, 
10, 22.442790, 0.013251, 
10, 22.442885, 0.009528, 
10, 22.442950, 0.006422, 
10, 22.442989, 0.003933, 
10, 22.443009, 0.002060, 
10, 22.443017, 0.000804, 
10, 22.443019, 0.000165, 
10, 22.443019, 0.000000, 
